raw_name,raw_name_normalized,source_system,marca_std,brand_group,mapping_status,mapping_confidence,is_active,effective_from,effective_to,notes
VAJILLA,VAJILLA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
LAPICERA,LAPICERA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
COSMETIQUERA,COSMETIQUERA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
PLAYERA MUNDIAL,PLAYERA MUNDIAL,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
PORTAVASOS,PORTAVASOS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
LIBRO NAVIDEÑO,LIBRO NAVIDEÑO,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
REFRACTARIOS,REFRACTARIOS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
BOTANERO,BOTANERO,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
DISPENSERS,DISPENSERS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
BEBEDERO,BEBEDERO,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
BOMBA,BOMBA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
JARRA,JARRA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
TERMO,TERMO,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
ALCANCIA,ALCANCIA,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
METALICO,METALICO,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
ESPECIERO,ESPECIERO,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
POUCH,POUCH,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
BOWLS,BOWLS,SELL_IN,_MERCHANDISE,_MERCHANDISE,CONFIRMED,1.0,TRUE,2024-01-01,,Merchandise item
0,0,SELL_IN,_UNKNOWN,_UNKNOWN,CONFIRMED,1.0,TRUE,2024-01-01,,Sentinel: unknown brand code
MULTI,MULTI,SELL_IN,_UNKNOWN,_UNKNOWN,CONFIRMED,1.0,TRUE,2024-01-01,,Sentinel: ambiguous multi
MULTIBRAND,MULTIBRAND,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Seeded from SELL_IN CASE logic
MULTIBRAND DAIRY,MULTIBRAND DAIRY,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
MULTIBRAND DANONE,MULTIBRAND DANONE,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
MULTIBRAND INDULGENCE,MULTIBRAND INDULGENCE,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
MULTIBRAND INNOS,MULTIBRAND INNOS,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
MULTIBRAND KIDS,MULTIBRAND KIDS,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
MULTIBRAND WATERS,MULTIBRAND WATERS,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
MULTIMARCA,MULTIMARCA,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias Spanish
INSTITUTO DANONE,INSTITUTO DANONE,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
DNP,DNP,SELL_IN,_MULTIBRAND,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Alias
FERRERO,FERRERO,SELL_IN,FERRERO,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,EDP exclusion filter brand
KINDER,KINDER,SELL_IN,KINDER,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,EDP exclusion filter brand
MARS,MARS,SELL_IN,MARS,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,EDP exclusion filter brand
CODISTRIBUCION,CODISTRIBUCION,SELL_IN,_UNKNOWN,_UNKNOWN,CONFIRMED,1.0,TRUE,2024-01-01,,EDP exclusion filter — co-distribution
SOFUL,SOFUL,EDP_NIELSEN,SOFUL,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Referenced in EDP segmentation logic
CHOBANI,CHOBANI,EDP_NIELSEN,CHOBANI,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Referenced in EDP segmentation logic
BIO 4BALAN-CE,BIO 4BALAN-CE,EDP_NIELSEN,BIO 4BALAN-CE,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Referenced in EDP segmentation logic
SIGMA ALIM.,SIGMA ALIM.,EDP_NIELSEN,SIGMA ALIMENTOS,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Manufacturer used in segmentation — normalize for display
CONTROLLED LABEL,CONTROLLED LABEL,EDP_NIELSEN,_CONTROLLED_LABEL,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Nielsen generic brand bucket — EDP
CONTROLLED LABEL,CONTROLLED LABEL,PB_NIELSEN,_CONTROLLED_LABEL,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Nielsen generic brand bucket — PB
CONTROLLED LABEL,CONTROLLED LABEL,WATER_NIELSEN_RIE,_CONTROLLED_LABEL,_MULTIBRAND,CONFIRMED,1.0,TRUE,2024-01-01,,Nielsen generic brand bucket — Water RIE
OTHERS MARCA,OTHERS MARCA,WATER_NIELSEN_RIE,OTHER BRANDS,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Water RIE brand harmonization
LEVITE CLASICA,LEVITE CLASICA,WATER_NIELSEN_RIE,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Water brand harmonization
INFUSIONES,INFUSIONES,WATER_NIELSEN_RIE,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Water brand harmonization
CERO,CERO,WATER_NIELSEN_RIE,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Water brand harmonization
BALANCE,BALANCE,WATER_NIELSEN_RIE,LEVITE,DANONE_OWN,CONFIRMED,1.0,TRUE,2024-01-01,,Water brand harmonization
VITALOE,VITALOE,WATER_NIELSEN_RIE,VITALOE,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Qualamex 320ml
ALOEYA,ALOEYA,WATER_NIELSEN_RIE,ALOEYA,COMPETITOR,CONFIRMED,1.0,TRUE,2024-01-01,,Qualamex 500ml
